"","Qtr","x1_qtrs","x2_qtrs","x3_qtrs","x4_qtrs","x5_qtrs","x6_qtrs","x7_qtrs","x8_qtrs","x9_qtrs","x10_qtrs","x11_qtrs","x12_qtrs","x13_qtrs","x14_qtrs","x15_qtrs","x16_qtrs","x17_qtrs","x18_qtrs","x19_qtrs","x20_qtrs","x21_qtrs","x22_qtrs","x23_qtrs","x24_qtrs","x25_qtrs","x26_qtrs","x27_qtrs","x28_qtrs","x29_qtrs","x30_qtrs","x31_qtrs","x32_qtrs","x33_qtrs","x34_qtrs","x35_qtrs","x36_qtrs","x37_qtrs","x38_qtrs","x39_qtrs","x40_qtrs"
"1",1993 Q2,4.90629032258065,4.84129032258064,5.13451612903226,5.58258064516129,6.03564516129032,6.42774193548387,6.74112903225806,6.98370967741935,7.17145161290323,7.32064516129032,7.44483870967742,7.55258064516129,7.65225806451613,7.74645161290323,7.83693548387097,7.92629032258065,8.01241935483871,8.09548387096774,8.17516129032258,8.24903225806452,8.31822580645161,8.3808064516129,8.43629032258064,8.485,8.5258064516129,8.55806451612903,8.58338709677419,8.60016129032258,8.60903225806452,8.61016129032258,8.60370967741935,8.58951612903226,8.56903225806452,8.54096774193548,8.50645161290323,8.46564516129032,8.42,8.3691935483871,8.3108064516129,8.24983870967742
"2",1993 Q3,4.64454545454545,4.67121212121212,4.90045454545455,5.22318181818182,5.56287878787879,5.88227272727273,6.16590909090909,6.40954545454545,6.61348484848485,6.785,6.92636363636364,7.04424242424242,7.14318181818182,7.22484848484848,7.29409090909091,7.35181818181818,7.39984848484848,7.44106060606061,7.47560606060606,7.50363636363636,7.52818181818182,7.54742424242424,7.5630303030303,7.575,7.58424242424242,7.59075757575758,7.59439393939394,7.59545454545455,7.59439393939394,7.59166666666667,7.58666666666667,7.58015151515152,7.57227272727273,7.5630303030303,7.5519696969697,7.53878787878788,7.52606060606061,7.51166666666667,7.49621212121212,7.47954545454545
"3",1993 Q4,4.62825396825397,4.78142857142857,5.02777777777778,5.29555555555556,5.55587301587302,5.79539682539683,6.01,6.19968253968254,6.36444444444444,6.50873015873016,6.63095238095238,6.73761904761905,6.82888888888889,6.90634920634921,6.97253968253968,7.03,7.07761904761905,7.11857142857143,7.15269841269841,7.18222222222222,7.20730158730159,7.2268253968254,7.24412698412698,7.25714285714286,7.26746031746032,7.27587301587302,7.28111111111111,7.28539682539683,7.28730158730159,7.28793650793651,7.28698412698413,7.28444444444444,7.28095238095238,7.27809523809524,7.27269841269841,7.26555555555556,7.25952380952381,7.25174603174603,7.24365079365079,7.23492063492063
"4",1994 Q1,4.66612903225806,4.93064516129032,5.32870967741936,5.72854838709677,6.07451612903226,6.35225806451613,6.56758064516129,6.73129032258065,6.85645161290323,6.95290322580645,7.02758064516129,7.0908064516129,7.14338709677419,7.18903225806452,7.22951612903226,7.26693548387097,7.30016129032258,7.32983870967742,7.35709677419355,7.38338709677419,7.40483870967742,7.42370967741935,7.43774193548387,7.45048387096774,7.45887096774194,7.46564516129032,7.46806451612903,7.46725806451613,7.46435483870968,7.45838709677419,7.44838709677419,7.43790322580645,7.42322580645161,7.40629032258065,7.38758064516129,7.36677419354839,7.34354838709677,7.31790322580645,7.29112903225806,7.26225806451613
"5",1994 Q2,4.89016393442623,5.55786885245902,6.40524590163934,7.18672131147541,7.80295081967213,8.24573770491803,8.54098360655738,8.72573770491803,8.83524590163934,8.89754098360656,8.93344262295082,8.95737704918033,8.97803278688525,9.00114754098361,9.02901639344262,9.06098360655738,9.09786885245902,9.13868852459016,9.18098360655738,9.22475409836066,9.26868852459016,9.30950819672131,9.34803278688525,9.3827868852459,9.41377049180328,9.43803278688525,9.45786885245902,9.47147540983607,9.47983606557377,9.48196721311475,9.4772131147541,9.46754098360656,9.45081967213115,9.42803278688525,9.40032786885246,9.36688524590164,9.32918032786885,9.2855737704918,9.23737704918033,9.18377049180328
"6",1994 Q3,5.96348484848485,6.85121212121212,7.67272727272727,8.33287878787879,8.81439393939394,9.14,9.34863636363636,9.47409090909091,9.54954545454545,9.59833333333333,9.63469696969697,9.66757575757576,9.70363636363636,9.74409090909091,9.79045454545455,9.84136363636364,9.89681818181818,9.95469696969697,10.0130303030303,10.0690909090909,10.125,10.1760606060606,10.2230303030303,10.265303030303,10.3013636363636,10.3316666666667,10.3554545454545,10.3730303030303,10.3836363636364,10.3881818181818,10.3859090909091,10.3762121212121,10.3604545454545,10.3387878787879,10.3116666666667,10.2780303030303,10.239696969697,10.1942424242424,10.145303030303,10.0913636363636
"7",1994 Q4,7.67111111111111,8.68126984126984,9.31555555555556,9.67269841269841,9.86539682539683,9.97047619047619,10.0366666666667,10.0868253968254,10.1339682539683,10.1815873015873,10.2293650793651,10.2796825396825,10.3280952380952,10.3742857142857,10.4169841269841,10.4561904761905,10.4907936507937,10.5198412698413,10.5450793650794,10.5652380952381,10.5822222222222,10.5953968253968,10.6044444444444,10.6096825396825,10.6142857142857,10.6146031746032,10.614126984127,10.6122222222222,10.6077777777778,10.6031746031746,10.598253968254,10.5915873015873,10.5850793650794,10.5792063492063,10.5726984126984,10.5668253968254,10.5612698412698,10.555873015873,10.5511111111111,10.5474603174603
"8",1995 Q1,8.61539682539683,9.40111111111111,9.76888888888889,9.88571428571429,9.88952380952381,9.86507936507937,9.84904761904762,9.85365079365079,9.87952380952381,9.91984126984127,9.97,10.0219047619048,10.072380952381,10.1193650793651,10.1585714285714,10.1915873015873,10.2166666666667,10.2347619047619,10.2471428571429,10.252380952381,10.2534920634921,10.2501587301587,10.2439682539683,10.2349206349206,10.2252380952381,10.2133333333333,10.2006349206349,10.1888888888889,10.1774603174603,10.1669841269841,10.1579365079365,10.15,10.1425396825397,10.1388888888889,10.1366666666667,10.1371428571429,10.1387301587302,10.1431746031746,10.1503174603175,10.1598412698413
"9",1995 Q2,7.57360655737705,7.85737704918033,8.04803278688525,8.15,8.2116393442623,8.27196721311475,8.3444262295082,8.43508196721312,8.54032786885246,8.65491803278688,8.77426229508197,8.89196721311475,9.00524590163934,9.11147540983607,9.20885245901639,9.29688524590164,9.3744262295082,9.4416393442623,9.49918032786885,9.54852459016393,9.58983606557377,9.62327868852459,9.64901639344262,9.67016393442623,9.68459016393443,9.69540983606557,9.70147540983607,9.7044262295082,9.70409836065574,9.70147540983607,9.69688524590164,9.69065573770492,9.68229508196721,9.6744262295082,9.66475409836066,9.65426229508197,9.64360655737705,9.63295081967213,9.62327868852459,9.61213114754098
"10",1995 Q3,7.32938461538462,7.42138461538462,7.51461538461538,7.58738461538462,7.66184615384615,7.75153846153846,7.86430769230769,7.99692307692308,8.14261538461538,8.29646153846154,8.45184615384615,8.60369230769231,8.74938461538462,8.88446153846154,9.00969230769231,9.12323076923077,9.22476923076923,9.31446153846154,9.39246153846154,9.46,9.516,9.56523076923077,9.60415384615385,9.63523076923077,9.66046153846154,9.67738461538462,9.68969230769231,9.69661538461538,9.69907692307692,9.69753846153846,9.69215384615385,9.684,9.67261538461539,9.65876923076923,9.64292307692308,9.62584615384615,9.60661538461538,9.586,9.56538461538462,9.54230769230769
