zcp3m_stationary,zcp10y_spread,home_value_houses_nsw,rental_houses_nsw_stationary,gdp,cpi,asx200,forex
0.002070772,0.024234848,0.015834956,-0.001683198,0.002906411,0.00964121,0.118515056,0.064471923
0.006523532,0.017804688,0.023799769,-0.001877182,0.007435812,0.005316334,0.089043606,0.049218216
0.00287505,0.015885484,0.021567168,-0.001169214,0.004993008,0.009498752,0.009617115,0.000475398
0.004772977,0.010432787,0.020268254,0.00012542,0.00524849,0.006282743,-0.03019288,-0.014843461
0.000652683,0.005168182,5.49253E-05,-0.000634255,0.006764747,0.007280323,-0.027826951,0.019111905
0.001732102,0.006298438,-0.002089405,-0.018983252,0.010231457,0.004136511,0.044341883,0.047143665
0.00034869,0.00788871,-0.001039716,0.007172737,-0.002672885,0.014344508,0.019077705,0.019227062
0.000217345,0.005645902,0.003528773,-0.000550352,0.011734175,0.009113987,-0.016270147,0.037805936
-0.002932333,0.001463077,-0.009688845,0.000558266,0.013295226,0.006030169,-0.09589054,-0.031184857
-0.002986625,0.000296774,-0.013855258,0.005762168,0.011457993,0,-0.021584397,0
-0.000945341,-1.59E-06,-0.003785363,-0.00030916,0.009219054,0.001001502,0.014266295,0.029050384
-0.00593898,-0.000681967,0.007349765,-8.04878E-05,0.00752363,0.004992522,-0.010431449,-0.029930666
-0.002079823,-0.001404615,0.00104946,0.000695664,0.005930157,0.013847897,0.017860868,0.024789267
-0.002804808,0.00195625,0.008108184,0.0017529,0.00528704,0.001962709,0.051545375,-0.008628181
-0.001433402,0.006721311,0.012189838,-0.008667859,0.00295417,0.003913899,0.091812368,0.014623917
-0.001720227,0.007269355,0.02005725,-0.001383794,0.004305261,0.00389864,0.008240456,-0.045422655
-0.002258486,0.015312308,0.010407157,0.000603252,0.008110794,0.011605546,0.022640608,-0.0645981
-0.0001484,0.017874603,0.024353642,0.003196911,0.008217302,0.007662873,0.038813943,0.004755121
0.000379467,0.017162903,0.022490793,0.005456856,0.006749671,0.005708864,0.00669412,-0.015296665
0.00011486,0.014019672,0.021752361,-0.001169377,0.005283658,0.004732617,0.02416976,0.034559652
-9.05422E-05,0.01064,0.011412676,-0.001351599,0.005016337,0.004710324,0.013067531,-0.012172435
-0.000192674,0.007725397,0.021059353,-0.00106878,0.003580421,0.001877935,-0.031683957,-0.039390299
-0.002849386,0.003946774,0.021638078,-0.001819729,0.008349891,0.001874415,0.066668321,-0.064767193
-0.001925806,0.008317742,0.037359063,-0.004918374,0.001734571,0.006532921,-0.000248615,0.007810506
-0.000578288,0.009410769,0.036193627,-0.004563415,0.010770087,0.00464038,-0.067438814,-0.056548397
9.79243E-05,0.009280952,0.011523621,-0.001687534,0.00567955,0.003696862,-0.031536391,0.014169174
-5.30315E-05,0.007055738,-0.004444773,0.001258916,0.008307805,-0.001846723,-0.036029344,0.01343745
-0.002012048,0.006379365,0.001772688,-0.000837127,0.007036551,0.003690041,0.045629651,0.003730353
-0.002356854,0.004909091,0.024591245,-0.000868238,0.001461914,0.007339482,0.036875439,0.01268516
-0.000259019,0.010998413,0.035761409,-0.000521463,0.010145972,0.005469476,0.001964981,0.019761433
0.000125397,0.013380952,0.031941849,-0.000359404,0.002350648,0.004535155,0.053392651,0.022907594
-7.78038E-05,0.010877049,0.025157166,-0.000759079,0.00662391,0.001808319,0.011861362,-0.02496945
9.8512E-05,0.012209231,0.005724559,0.002237019,0.010616463,0.006303488,-0.014329581,0.030490167
2.84982E-05,0.011877778,-0.001975467,0.001575772,0.004632239,0.006264003,0.036695051,-0.032556283
2.84E-06,0.013059677,-0.001851559,-0.001702764,0.008435369,0.004450386,0.005846873,-0.009872774
5.64516E-05,0.012670968,-0.003251264,-0.0002129,0.008273789,0.003546103,0.006953956,-0.021108963
-3.39454E-05,0.011430769,-0.015861935,0.001474201,0.005325126,0.004415018,0.037581595,0.002131061
4.53365E-05,0.011309375,-0.021682954,-0.000109106,0.001431148,0.00527242,-0.076027181,-0.010701012
-0.00032752,0.006682258,-0.02226526,-0.000684607,0.004090899,0,0.038981828,-0.016816236
-0.002170175,0.004083607,-0.011991317,0.000842818,0.005516144,0.006116227,0.060839575,-0.012108018
-0.00394312,0.002704545,0.003298755,-0.001304444,0.008038928,0.00521287,0.038109477,-0.01675081
-0.001887311,0.004814063,0.031786839,-0.000640596,0.003512654,0.00690849,0.011017142,0.00952655
-0.001464782,0.005126984,0.030544275,-0.000488997,-0.003270423,0.003436429,-0.043576352,-0.054439107
-0.003878162,0.008014516,0.0078812,-0.001373388,-0.072330148,-0.019048195,-0.140700542,0.039266014
-0.00021273,0.008169231,-0.008565495,0.000888022,0.034950651,0.015611765,0.072421193,0.047549034
-0.000674188,0.00865873,0.023819871,-0.001194688,0.031314173,0.008569033,0.060051552,-0.004329011
-0.000332437,0.014225806,0.050236685,-0.000455718,0.018766511,0.00595493,0.059250269,0.037258168
